,Entity,Year,Electricity demand (TWh)
2240,Haiti,2021,0.99
2262,High-income countries,2021,11199.43
2284,Honduras,2021,11.8
2306,Hong Kong,2021,47.81
2338,Hungary,2021,47.5
2391,India,2021,1711.87
2413,Indonesia,2021,310.06
2435,Iran,2021,337.25
2457,Iraq,2021,115.87
2489,Ireland,2021,31.11
2511,Israel,2021,66.56
2543,Italy,2021,325.68
2565,Jamaica,2021,4.35
2587,Japan,2021,958.53
2609,Jordan,2021,22.01
2631,Kazakhstan,2021,113.6
2653,Kenya,2021,11.97
2675,Kiribati,2021,0.03
2718,Kuwait,2021,71.22
2740,Kyrgyzstan,2021,14.52
2762,Laos,2021,8.82
2784,Latin America and Caribbean (Ember),2021,1702.55
2816,Latvia,2021,7.75
2838,Lebanon,2021,20.66
2860,Lesotho,2021,1.03
2882,Liberia,2021,0.92
2904,Libya,2021,33.37
2936,Lithuania,2021,12.58
2958,Low-income countries,2021,121.74
2980,Lower-middle-income countries,2021,3819.1401
3012,Luxembourg,2021,7
3034,Macao,2021,5.78
3056,Madagascar,2021,2.09
3078,Malawi,2021,1.42
3100,Malaysia,2021,172.46
3122,Maldives,2021,0.66
3144,Mali,2021,3.04
3176,Malta,2021,2.98
3198,Martinique,2021,0
3220,Mauritania,2021,2.08
3242,Mauritius,2021,2.88
3264,Mexico,2021,339.37
3286,Moldova,2021,10.09
3308,Mongolia,2021,8.75
3325,Montenegro,2021,2.14
3347,Montserrat,2021,0.01
3369,Morocco,2021,42.27
3391,Mozambique,2021,16.24
3413,Myanmar,2021,21.02
3435,Namibia,2021,3.76
3457,Nauru,2021,0.04
3479,Nepal,2021,8.89
3511,Netherlands,2021,121.1
3533,New Caledonia,2021,3.36
3555,New Zealand,2021,43.42
3577,Nicaragua,2021,5.99
3599,Niger,2021,1.61
3621,Nigeria,2021,31.47
3643,Niue,2021,0
3665,North America,2021,5257.01
3687,North America (Ember),2021,4776.5
3709,North Korea,2021,14.45
3741,North Macedonia,2021,7.71
3773,Norway,2021,131.43
3795,OECD (Ember),2021,10805.23
3817,Oceania,2021,303.06
3839,Oceania (Ember),2021,303.06
3861,Oman,2021,36.56
3883,Pakistan,2021,150.68
3905,Palestine,2021,7.07
3927,Panama,2021,10.68
3949,Papua New Guinea,2021,4.86
3971,Paraguay,2021,12.02
3993,Peru,2021,58.18
4015,Philippines,2021,108.2
4047,Poland,2021,178.58
4079,Portugal,2021,53.86
4101,Puerto Rico,2021,18.24
4123,Qatar,2021,47.5
4145,Reunion,2021,0
4177,Romania,2021,60.8
4199,Russia,2021,1092.69
4221,Rwanda,2021,0.88
4243,Saint Helena,2021,0
4265,Saint Kitts and Nevis,2021,0.22
4287,Saint Lucia,2021,0.35
4309,Saint Pierre and Miquelon,2021,0.05
4331,Saint Vincent and the Grenadines,2021,0.16
4353,Samoa,2021,0.17
4375,Sao Tome and Principe,2021,0.1
4397,Saudi Arabia,2021,356.32
4419,Senegal,2021,5.97
4451,Serbia,2021,37.92
4473,Seychelles,2021,0.65
4495,Sierra Leone,2021,0.21
4517,Singapore,2021,53.48
4549,Slovakia,2021,30.27
4581,Slovenia,2021,15.28
4603,Solomon Islands,2021,0.11
4625,Somalia,2021,0.41
4647,South Africa,2021,219.06
4669,South America,2021,1222.6901
4691,South Korea,2021,588.52
4701,South Sudan,2021,0.57
4733,Spain,2021,273.15
4755,Sri Lanka,2021,16.36
4777,Sudan,2021,16.59
4799,Suriname,2021,2.82
4831,Sweden,2021,147.45
4853,Switzerland,2021,63.38
4875,Syria,2021,16.44
4897,Taiwan,2021,287.75
4919,Tajikistan,2021,18.3
4941,Tanzania,2021,8.29
4963,Thailand,2021,215.56
4982,Timor,2021,0.53
5004,Togo,2021,1.44
5026,Tonga,2021,0.08
5048,Trinidad and Tobago,2021,8.73
5070,Tunisia,2021,20.35
5102,Turkey,2021,328.64
5124,Turkmenistan,2021,18.2
5146,Turks and Caicos Islands,2021,0.27
5168,Uganda,2021,4.2
5200,Ukraine,2021,153.57
5222,United Arab Emirates,2021,135.6
5254,United Kingdom,2021,329.62
5276,United States,2021,4189.28
5298,United States Virgin Islands,2021,0.7
5320,Upper-middle-income countries,2021,12533.89
5342,Uruguay,2021,14.74
5364,Uzbekistan,2021,61.73
5386,Vanuatu,2021,0.07
5408,Venezuela,2021,94.1
5430,Vietnam,2021,245.3
5452,Western Sahara,2021,0
5474,World,2021,27782.79
5496,Yemen,2021,3.52
5518,Zambia,2021,16.51
5540,Zimbabwe,2021,9.79
